Batch_ID,Product,Production_Line,Batch_Date,Month_Year,Quarter,Shift,Supervisor,Batch_Size_kg,Raw_Material_Lot,Batch_Status,QC_Release_Date
BCH-2022-0001,Jackfruit Chips,Line A,2022-01-03 00:00:00,Jan-2022,Q1-2022,Morning,Ramesh K.,454.7,RM-2000,Hold – OOS,
BCH-2022-0002,Okra Chips,Line B,2022-01-04 00:00:00,Jan-2022,Q1-2022,Afternoon,Priya S.,559.5,RM-2001,Released,2022-01-06 00:00:00
BCH-2022-0003,Roasted Corn,Line C,2022-01-05 00:00:00,Jan-2022,Q1-2022,Night,Anand M.,553.2,RM-2002,Released,2022-01-06 00:00:00
BCH-2022-0004,Chickpea Snacks,Line D,2022-01-06 00:00:00,Jan-2022,Q1-2022,Morning,Sagar A.,292.4,RM-2003,Released,2022-01-09 00:00:00
BCH-2022-0005,Banana Chips,Line E,2022-01-07 00:00:00,Jan-2022,Q1-2022,Afternoon,Divya N.,305.4,RM-2004,Released,2022-01-08 00:00:00
BCH-2022-0006,Sweet Potato Chips,Line F,2022-01-08 00:00:00,Jan-2022,Q1-2022,Night,Karthik V.,618.7,RM-2005,Released,2022-01-10 00:00:00
BCH-2022-0007,Masala Peanuts,Line A,2022-01-13 00:00:00,Jan-2022,Q1-2022,Morning,Meena R.,394.6,RM-2006,Released,2022-01-15 00:00:00
BCH-2022-0008,Tapioca Crisps,Line B,2022-01-14 00:00:00,Jan-2022,Q1-2022,Afternoon,Suresh B.,393.9,RM-2007,Released,2022-01-15 00:00:00
BCH-2022-0009,Jackfruit Chips,Line C,2022-01-15 00:00:00,Jan-2022,Q1-2022,Night,Ramesh K.,208.5,RM-2008,Released,2022-01-18 00:00:00
BCH-2022-0010,Okra Chips,Line D,2022-01-16 00:00:00,Jan-2022,Q1-2022,Morning,Priya S.,270.4,RM-2009,Released,2022-01-19 00:00:00
BCH-2022-0011,Roasted Corn,Line E,2022-01-17 00:00:00,Jan-2022,Q1-2022,Afternoon,Anand M.,538.6,RM-2010,Released,2022-01-19 00:00:00
BCH-2022-0012,Chickpea Snacks,Line F,2022-01-19 00:00:00,Jan-2022,Q1-2022,Night,Sagar A.,430.6,RM-2011,Hold – OOS,
BCH-2022-0013,Banana Chips,Line A,2022-01-26 00:00:00,Jan-2022,Q1-2022,Morning,Divya N.,497.5,RM-2012,Released,2022-01-27 00:00:00
BCH-2022-0014,Sweet Potato Chips,Line B,2022-01-27 00:00:00,Jan-2022,Q1-2022,Afternoon,Karthik V.,500.8,RM-2013,Released,2022-01-30 00:00:00
BCH-2022-0015,Masala Peanuts,Line C,2022-01-28 00:00:00,Jan-2022,Q1-2022,Night,Meena R.,334.0,RM-2014,Hold – OOS,
BCH-2022-0016,Tapioca Crisps,Line D,2022-01-29 00:00:00,Jan-2022,Q1-2022,Morning,Suresh B.,451.6,RM-2015,Rejected,
BCH-2022-0017,Jackfruit Chips,Line E,2022-01-30 00:00:00,Jan-2022,Q1-2022,Afternoon,Ramesh K.,419.5,RM-2016,Released,2022-01-31 00:00:00
BCH-2022-0018,Okra Chips,Line F,2022-02-01 00:00:00,Feb-2022,Q1-2022,Night,Priya S.,302.9,RM-2017,Released,2022-02-04 00:00:00
BCH-2022-0019,Roasted Corn,Line A,2022-02-02 00:00:00,Feb-2022,Q1-2022,Morning,Anand M.,588.9,RM-2018,Released,2022-02-05 00:00:00
BCH-2022-0020,Chickpea Snacks,Line B,2022-02-03 00:00:00,Feb-2022,Q1-2022,Afternoon,Sagar A.,571.4,RM-2019,Released,2022-02-05 00:00:00
BCH-2022-0021,Banana Chips,Line C,2022-02-05 00:00:00,Feb-2022,Q1-2022,Night,Divya N.,590.7,RM-2020,Released,2022-02-07 00:00:00
BCH-2022-0022,Sweet Potato Chips,Line D,2022-02-12 00:00:00,Feb-2022,Q1-2022,Morning,Karthik V.,212.9,RM-2021,Released,2022-02-13 00:00:00
BCH-2022-0023,Masala Peanuts,Line E,2022-02-17 00:00:00,Feb-2022,Q1-2022,Afternoon,Meena R.,389.5,RM-2022,Released,2022-02-20 00:00:00
BCH-2022-0024,Tapioca Crisps,Line F,2022-02-18 00:00:00,Feb-2022,Q1-2022,Night,Suresh B.,366.5,RM-2023,Released,2022-02-20 00:00:00
BCH-2022-0025,Jackfruit Chips,Line A,2022-02-21 00:00:00,Feb-2022,Q1-2022,Morning,Ramesh K.,245.3,RM-2024,Released,2022-02-23 00:00:00
BCH-2022-0026,Okra Chips,Line B,2022-02-22 00:00:00,Feb-2022,Q1-2022,Afternoon,Priya S.,300.0,RM-2025,Released,2022-02-23 00:00:00
BCH-2022-0027,Roasted Corn,Line C,2022-02-25 00:00:00,Feb-2022,Q1-2022,Night,Anand M.,323.4,RM-2026,Hold – OOS,
BCH-2022-0028,Chickpea Snacks,Line D,2022-02-26 00:00:00,Feb-2022,Q1-2022,Morning,Sagar A.,529.8,RM-2027,Released,2022-02-27 00:00:00
BCH-2022-0029,Banana Chips,Line E,2022-02-27 00:00:00,Feb-2022,Q1-2022,Afternoon,Divya N.,610.1,RM-2028,Released,2022-02-28 00:00:00
BCH-2022-0030,Sweet Potato Chips,Line F,2022-02-28 00:00:00,Feb-2022,Q1-2022,Night,Karthik V.,298.2,RM-2029,Released,2022-03-01 00:00:00
BCH-2022-0031,Masala Peanuts,Line A,2022-03-01 00:00:00,Mar-2022,Q1-2022,Morning,Meena R.,412.4,RM-2030,Released,2022-03-02 00:00:00
BCH-2022-0032,Tapioca Crisps,Line B,2022-03-02 00:00:00,Mar-2022,Q1-2022,Afternoon,Suresh B.,412.7,RM-2031,Released,2022-03-05 00:00:00
BCH-2022-0033,Jackfruit Chips,Line C,2022-03-04 00:00:00,Mar-2022,Q1-2022,Night,Ramesh K.,504.3,RM-2032,Released,2022-03-07 00:00:00
BCH-2022-0034,Okra Chips,Line D,2022-03-05 00:00:00,Mar-2022,Q1-2022,Morning,Priya S.,267.3,RM-2033,Rejected,
BCH-2022-0035,Roasted Corn,Line E,2022-03-06 00:00:00,Mar-2022,Q1-2022,Afternoon,Anand M.,280.8,RM-2034,Released,2022-03-08 00:00:00
BCH-2022-0036,Chickpea Snacks,Line F,2022-03-13 00:00:00,Mar-2022,Q1-2022,Night,Sagar A.,468.1,RM-2035,Released,2022-03-16 00:00:00
BCH-2022-0037,Banana Chips,Line A,2022-03-14 00:00:00,Mar-2022,Q1-2022,Morning,Divya N.,192.6,RM-2036,Released,2022-03-16 00:00:00
BCH-2022-0038,Sweet Potato Chips,Line B,2022-03-15 00:00:00,Mar-2022,Q1-2022,Afternoon,Karthik V.,380.2,RM-2037,Released,2022-03-17 00:00:00
BCH-2022-0039,Masala Peanuts,Line C,2022-03-17 00:00:00,Mar-2022,Q1-2022,Night,Meena R.,532.8,RM-2038,Released,2022-03-19 00:00:00
BCH-2022-0040,Tapioca Crisps,Line D,2022-03-18 00:00:00,Mar-2022,Q1-2022,Morning,Suresh B.,383.2,RM-2039,Released,2022-03-19 00:00:00
BCH-2022-0041,Jackfruit Chips,Line E,2022-03-20 00:00:00,Mar-2022,Q1-2022,Afternoon,Ramesh K.,618.3,RM-2040,Hold – OOS,
BCH-2022-0042,Okra Chips,Line F,2022-03-21 00:00:00,Mar-2022,Q1-2022,Night,Priya S.,295.2,RM-2041,Released,2022-03-23 00:00:00
BCH-2022-0043,Roasted Corn,Line A,2022-03-22 00:00:00,Mar-2022,Q1-2022,Morning,Anand M.,235.3,RM-2042,Released,2022-03-25 00:00:00
BCH-2022-0044,Chickpea Snacks,Line B,2022-03-24 00:00:00,Mar-2022,Q1-2022,Afternoon,Sagar A.,404.4,RM-2043,Released,2022-03-26 00:00:00
BCH-2022-0045,Banana Chips,Line C,2022-03-25 00:00:00,Mar-2022,Q1-2022,Night,Divya N.,566.0,RM-2044,Released,2022-03-28 00:00:00
BCH-2022-0046,Sweet Potato Chips,Line D,2022-03-27 00:00:00,Mar-2022,Q1-2022,Morning,Karthik V.,350.0,RM-2045,Released,2022-03-29 00:00:00
BCH-2022-0047,Masala Peanuts,Line E,2022-03-29 00:00:00,Mar-2022,Q1-2022,Afternoon,Meena R.,419.5,RM-2046,Hold – OOS,
BCH-2022-0048,Tapioca Crisps,Line F,2022-03-30 00:00:00,Mar-2022,Q1-2022,Night,Suresh B.,380.9,RM-2047,Released,2022-04-02 00:00:00
BCH-2022-0049,Jackfruit Chips,Line A,2022-04-01 00:00:00,Apr-2022,Q2-2022,Morning,Ramesh K.,392.4,RM-2048,Released,2022-04-03 00:00:00
BCH-2022-0050,Okra Chips,Line B,2022-04-02 00:00:00,Apr-2022,Q2-2022,Afternoon,Priya S.,593.1,RM-2049,Released,2022-04-05 00:00:00
BCH-2022-0051,Roasted Corn,Line C,2022-04-04 00:00:00,Apr-2022,Q2-2022,Night,Anand M.,478.4,RM-2050,Released,2022-04-07 00:00:00
BCH-2022-0052,Chickpea Snacks,Line D,2022-04-07 00:00:00,Apr-2022,Q2-2022,Morning,Sagar A.,234.0,RM-2051,Released,2022-04-08 00:00:00
BCH-2022-0053,Banana Chips,Line E,2022-04-10 00:00:00,Apr-2022,Q2-2022,Afternoon,Divya N.,558.9,RM-2052,Released,2022-04-12 00:00:00
BCH-2022-0054,Sweet Potato Chips,Line F,2022-04-11 00:00:00,Apr-2022,Q2-2022,Night,Karthik V.,534.8,RM-2053,Released,2022-04-13 00:00:00
BCH-2022-0055,Masala Peanuts,Line A,2022-04-12 00:00:00,Apr-2022,Q2-2022,Morning,Meena R.,416.8,RM-2054,Released,2022-04-14 00:00:00
BCH-2022-0056,Tapioca Crisps,Line B,2022-04-13 00:00:00,Apr-2022,Q2-2022,Afternoon,Suresh B.,441.8,RM-2055,Released,2022-04-15 00:00:00
BCH-2022-0057,Jackfruit Chips,Line C,2022-04-14 00:00:00,Apr-2022,Q2-2022,Night,Ramesh K.,238.4,RM-2056,Released,2022-04-16 00:00:00
BCH-2022-0058,Okra Chips,Line D,2022-04-15 00:00:00,Apr-2022,Q2-2022,Morning,Priya S.,383.5,RM-2057,Released,2022-04-17 00:00:00
BCH-2022-0059,Roasted Corn,Line E,2022-04-16 00:00:00,Apr-2022,Q2-2022,Afternoon,Anand M.,437.6,RM-2058,Released,2022-04-19 00:00:00
BCH-2022-0060,Chickpea Snacks,Line F,2022-04-17 00:00:00,Apr-2022,Q2-2022,Night,Sagar A.,304.1,RM-2059,Released,2022-04-20 00:00:00
BCH-2022-0061,Banana Chips,Line A,2022-04-18 00:00:00,Apr-2022,Q2-2022,Morning,Divya N.,240.8,RM-2060,Released,2022-04-20 00:00:00
BCH-2022-0062,Sweet Potato Chips,Line B,2022-04-20 00:00:00,Apr-2022,Q2-2022,Afternoon,Karthik V.,295.1,RM-2061,Hold – OOS,
BCH-2022-0063,Masala Peanuts,Line C,2022-04-21 00:00:00,Apr-2022,Q2-2022,Night,Meena R.,601.9,RM-2062,Released,2022-04-22 00:00:00
BCH-2022-0064,Tapioca Crisps,Line D,2022-04-22 00:00:00,Apr-2022,Q2-2022,Morning,Suresh B.,504.3,RM-2063,Released,2022-04-23 00:00:00
BCH-2022-0065,Jackfruit Chips,Line E,2022-04-23 00:00:00,Apr-2022,Q2-2022,Afternoon,Ramesh K.,590.5,RM-2064,Released,2022-04-24 00:00:00
BCH-2022-0066,Okra Chips,Line F,2022-04-24 00:00:00,Apr-2022,Q2-2022,Night,Priya S.,442.4,RM-2065,Released,2022-04-25 00:00:00
BCH-2022-0067,Roasted Corn,Line A,2022-04-25 00:00:00,Apr-2022,Q2-2022,Morning,Anand M.,414.4,RM-2066,Hold – OOS,
BCH-2022-0068,Chickpea Snacks,Line B,2022-04-27 00:00:00,Apr-2022,Q2-2022,Afternoon,Sagar A.,414.6,RM-2067,Released,2022-04-29 00:00:00
BCH-2022-0069,Banana Chips,Line C,2022-04-28 00:00:00,Apr-2022,Q2-2022,Night,Divya N.,535.3,RM-2068,Released,2022-04-30 00:00:00
BCH-2022-0070,Sweet Potato Chips,Line D,2022-04-30 00:00:00,Apr-2022,Q2-2022,Morning,Karthik V.,235.7,RM-2069,Rejected,
BCH-2022-0071,Masala Peanuts,Line E,2022-05-01 00:00:00,May-2022,Q2-2022,Afternoon,Meena R.,312.3,RM-2070,Released,2022-05-02 00:00:00
BCH-2022-0072,Tapioca Crisps,Line F,2022-05-02 00:00:00,May-2022,Q2-2022,Night,Suresh B.,428.1,RM-2071,Released,2022-05-03 00:00:00
BCH-2022-0073,Jackfruit Chips,Line A,2022-05-03 00:00:00,May-2022,Q2-2022,Morning,Ramesh K.,557.3,RM-2072,Released,2022-05-05 00:00:00
BCH-2022-0074,Okra Chips,Line B,2022-05-04 00:00:00,May-2022,Q2-2022,Afternoon,Priya S.,561.6,RM-2073,Released,2022-05-06 00:00:00
BCH-2022-0075,Roasted Corn,Line C,2022-05-05 00:00:00,May-2022,Q2-2022,Night,Anand M.,538.5,RM-2074,Released,2022-05-07 00:00:00
BCH-2022-0076,Chickpea Snacks,Line D,2022-05-06 00:00:00,May-2022,Q2-2022,Morning,Sagar A.,471.5,RM-2075,Released,2022-05-07 00:00:00
BCH-2022-0077,Banana Chips,Line E,2022-05-07 00:00:00,May-2022,Q2-2022,Afternoon,Divya N.,243.8,RM-2076,Released,2022-05-09 00:00:00
BCH-2022-0078,Sweet Potato Chips,Line F,2022-05-08 00:00:00,May-2022,Q2-2022,Night,Karthik V.,276.6,RM-2077,Released,2022-05-11 00:00:00
BCH-2022-0079,Masala Peanuts,Line A,2022-05-09 00:00:00,May-2022,Q2-2022,Morning,Meena R.,435.3,RM-2078,Released,2022-05-11 00:00:00
BCH-2022-0080,Tapioca Crisps,Line B,2022-05-11 00:00:00,May-2022,Q2-2022,Afternoon,Suresh B.,224.0,RM-2079,Released,2022-05-12 00:00:00
BCH-2022-0081,Jackfruit Chips,Line C,2022-05-12 00:00:00,May-2022,Q2-2022,Night,Ramesh K.,183.9,RM-2080,Released,2022-05-14 00:00:00
BCH-2022-0082,Okra Chips,Line D,2022-05-13 00:00:00,May-2022,Q2-2022,Morning,Priya S.,342.1,RM-2081,Released,2022-05-14 00:00:00
BCH-2022-0083,Roasted Corn,Line E,2022-05-14 00:00:00,May-2022,Q2-2022,Afternoon,Anand M.,463.6,RM-2082,Released,2022-05-17 00:00:00
BCH-2022-0084,Chickpea Snacks,Line F,2022-05-15 00:00:00,May-2022,Q2-2022,Night,Sagar A.,450.3,RM-2083,Released,2022-05-16 00:00:00
BCH-2022-0085,Banana Chips,Line A,2022-05-16 00:00:00,May-2022,Q2-2022,Morning,Divya N.,424.6,RM-2084,Released,2022-05-17 00:00:00
BCH-2022-0086,Sweet Potato Chips,Line B,2022-05-18 00:00:00,May-2022,Q2-2022,Afternoon,Karthik V.,206.1,RM-2085,Rejected,
BCH-2022-0087,Masala Peanuts,Line C,2022-05-19 00:00:00,May-2022,Q2-2022,Night,Meena R.,202.4,RM-2086,Released,2022-05-22 00:00:00
BCH-2022-0088,Tapioca Crisps,Line D,2022-05-20 00:00:00,May-2022,Q2-2022,Morning,Suresh B.,410.4,RM-2087,Released,2022-05-22 00:00:00
BCH-2022-0089,Jackfruit Chips,Line E,2022-05-21 00:00:00,May-2022,Q2-2022,Afternoon,Ramesh K.,363.1,RM-2088,Released,2022-05-23 00:00:00
BCH-2022-0090,Okra Chips,Line F,2022-05-22 00:00:00,May-2022,Q2-2022,Night,Priya S.,285.3,RM-2089,Released,2022-05-25 00:00:00
BCH-2022-0091,Roasted Corn,Line A,2022-05-23 00:00:00,May-2022,Q2-2022,Morning,Anand M.,308.2,RM-2090,Released,2022-05-24 00:00:00
BCH-2022-0092,Chickpea Snacks,Line B,2022-05-24 00:00:00,May-2022,Q2-2022,Afternoon,Sagar A.,320.0,RM-2091,Released,2022-05-27 00:00:00
BCH-2022-0093,Banana Chips,Line C,2022-05-26 00:00:00,May-2022,Q2-2022,Night,Divya N.,340.5,RM-2092,Released,2022-05-29 00:00:00
BCH-2022-0094,Sweet Potato Chips,Line D,2022-05-28 00:00:00,May-2022,Q2-2022,Morning,Karthik V.,592.4,RM-2093,Hold – OOS,
BCH-2022-0095,Masala Peanuts,Line E,2022-05-29 00:00:00,May-2022,Q2-2022,Afternoon,Meena R.,203.3,RM-2094,Hold – OOS,
BCH-2022-0096,Tapioca Crisps,Line F,2022-06-01 00:00:00,Jun-2022,Q2-2022,Night,Suresh B.,513.1,RM-2095,Released,2022-06-02 00:00:00
BCH-2022-0097,Jackfruit Chips,Line A,2022-06-02 00:00:00,Jun-2022,Q2-2022,Morning,Ramesh K.,405.0,RM-2096,Rejected,
BCH-2022-0098,Okra Chips,Line B,2022-06-03 00:00:00,Jun-2022,Q2-2022,Afternoon,Priya S.,573.1,RM-2097,Released,2022-06-06 00:00:00
BCH-2022-0099,Roasted Corn,Line C,2022-06-05 00:00:00,Jun-2022,Q2-2022,Night,Anand M.,414.2,RM-2098,Released,2022-06-08 00:00:00
BCH-2022-0100,Chickpea Snacks,Line D,2022-06-06 00:00:00,Jun-2022,Q2-2022,Morning,Sagar A.,361.0,RM-2099,Released,2022-06-09 00:00:00
BCH-2022-0101,Banana Chips,Line E,2022-06-11 00:00:00,Jun-2022,Q2-2022,Afternoon,Divya N.,424.1,RM-2100,Hold – OOS,
BCH-2022-0102,Sweet Potato Chips,Line F,2022-06-12 00:00:00,Jun-2022,Q2-2022,Night,Karthik V.,550.2,RM-2101,Released,2022-06-13 00:00:00
BCH-2022-0103,Masala Peanuts,Line A,2022-06-14 00:00:00,Jun-2022,Q2-2022,Morning,Meena R.,491.0,RM-2102,Released,2022-06-17 00:00:00
BCH-2022-0104,Tapioca Crisps,Line B,2022-06-16 00:00:00,Jun-2022,Q2-2022,Afternoon,Suresh B.,504.8,RM-2103,Released,2022-06-18 00:00:00
BCH-2022-0105,Jackfruit Chips,Line C,2022-06-17 00:00:00,Jun-2022,Q2-2022,Night,Ramesh K.,322.3,RM-2104,Released,2022-06-19 00:00:00
BCH-2022-0106,Okra Chips,Line D,2022-06-18 00:00:00,Jun-2022,Q2-2022,Morning,Priya S.,182.2,RM-2105,Released,2022-06-19 00:00:00
BCH-2022-0107,Roasted Corn,Line E,2022-06-19 00:00:00,Jun-2022,Q2-2022,Afternoon,Anand M.,424.4,RM-2106,Released,2022-06-21 00:00:00
BCH-2022-0108,Chickpea Snacks,Line F,2022-06-20 00:00:00,Jun-2022,Q2-2022,Night,Sagar A.,354.4,RM-2107,Released,2022-06-22 00:00:00
BCH-2022-0109,Banana Chips,Line A,2022-06-22 00:00:00,Jun-2022,Q2-2022,Morning,Divya N.,313.0,RM-2108,Released,2022-06-24 00:00:00
BCH-2022-0110,Sweet Potato Chips,Line B,2022-06-24 00:00:00,Jun-2022,Q2-2022,Afternoon,Karthik V.,563.7,RM-2109,Hold – OOS,
BCH-2022-0111,Masala Peanuts,Line C,2022-06-26 00:00:00,Jun-2022,Q2-2022,Night,Meena R.,479.4,RM-2110,Released,2022-06-29 00:00:00
